"","V1","V2","V3","V4","V5","V6"
"1",0,0,0,1,0,0
"2",0,1,0,0,0,1
"3",1,1,1,0,0,0
"4",1,0,1,1,1,0
"5",1,1,0,0,1,0
"6",1,1,1,1,1,0
"7",1,1,1,1,0,0
"8",0,0,0,1,0,1
"9",0,1,0,0,0,1
"10",1,1,1,1,1,0
"11",1,1,1,0,1,1
"12",1,0,0,1,1,0
"13",0,1,1,1,0,1
"14",1,0,0,1,0,0
"15",0,0,1,1,1,0
"16",1,0,0,1,0,1
"17",1,0,1,0,1,0
"18",1,1,1,1,1,1
"19",1,1,1,1,1,0
"20",1,0,0,0,0,1
"21",1,1,1,1,0,1
"22",0,1,1,1,0,1
"23",1,1,0,1,0,1
"24",0,0,0,1,0,1
"25",0,1,0,1,1,1
"26",0,1,1,1,1,1
"27",0,1,1,0,1,1
"28",0,1,0,1,0,0
"29",0,0,1,0,1,0
"30",1,0,0,1,1,0
"31",0,1,1,0,0,1
"32",0,1,1,1,0,0
"33",0,1,1,0,0,0
"34",0,0,0,0,0,1
"35",1,1,1,0,1,0
"36",1,1,1,1,0,1
"37",0,1,1,0,1,1
"38",0,1,1,0,1,0
"39",0,1,0,0,1,1
"40",0,1,1,1,0,1
"41",0,0,0,0,1,1
"42",0,1,0,1,0,1
"43",1,1,0,1,0,0
"44",0,0,0,0,1,0
"45",0,1,1,1,1,0
"46",1,1,0,0,1,1
"47",1,1,1,0,0,1
"48",0,0,0,0,0,1
"49",1,0,0,1,0,0
"50",1,1,0,1,1,1
"51",1,0,1,0,1,1
"52",1,0,0,0,0,1
"53",0,1,0,0,0,1
"54",0,1,0,1,0,1
"55",1,0,1,0,1,0
"56",0,0,1,1,0,1
"57",0,0,0,0,1,0
"58",1,0,1,1,0,0
"59",1,0,1,0,0,0
"60",0,1,0,1,1,0
"61",1,0,0,0,1,1
"62",0,1,1,0,0,0
"63",1,0,1,1,1,0
"64",0,1,1,1,1,0
"65",1,1,1,0,0,0
"66",1,1,0,0,0,1
"67",1,0,0,0,1,0
"68",0,1,1,0,1,0
"69",1,1,1,0,1,1
"70",0,1,1,0,0,1
"71",1,0,0,1,1,1
"72",0,0,0,0,0,1
"73",1,1,1,0,0,1
"74",1,0,0,1,1,0
"75",1,0,0,0,0,0
"76",1,1,1,0,1,0
"77",1,1,0,0,1,0
"78",0,0,0,1,0,1
"79",0,1,1,0,0,1
"80",1,1,0,1,0,0
"81",1,1,1,0,1,0
"82",1,1,0,1,1,1
"83",0,1,1,0,1,0
"84",1,1,0,1,1,1
"85",0,1,0,1,1,1
"86",1,1,0,1,0,1
"87",0,1,1,0,1,0
"88",1,0,1,0,0,1
"89",0,1,0,1,1,1
"90",0,0,1,1,1,1
"91",0,0,0,1,0,1
"92",1,1,1,0,0,1
"93",0,0,0,1,0,1
"94",1,0,0,1,0,1
"95",1,1,0,1,0,1
"96",0,0,1,1,0,1
"97",0,0,1,0,1,1
"98",1,0,1,1,0,0
"99",1,1,0,1,0,0
"100",0,0,0,0,0,0
"101",0,0,0,1,1,1
"102",1,0,0,1,0,1
"103",0,1,1,0,1,0
"104",0,1,1,0,1,1
"105",1,1,0,1,0,1
"106",1,1,0,1,0,1
"107",1,0,0,1,0,1
"108",0,0,1,0,0,1
"109",0,0,0,0,1,0
"110",0,1,0,0,0,0
"111",0,1,0,1,0,1
"112",1,1,1,0,1,1
"113",1,1,1,1,1,0
"114",1,1,1,1,0,0
"115",1,0,1,0,0,0
"116",0,0,0,1,0,0
"117",1,1,1,0,1,1
"118",0,1,1,0,1,0
"119",1,1,0,0,1,0
"120",1,1,0,1,1,0
"121",1,0,0,0,1,1
"122",1,1,0,0,1,1
"123",0,0,0,1,1,0
"124",0,0,1,1,1,1
"125",1,1,1,0,0,1
"126",0,1,0,0,0,1
"127",1,1,1,1,0,1
"128",0,0,1,1,1,1
"129",1,1,0,1,0,1
"130",0,0,0,1,0,1
"131",1,0,1,0,1,1
"132",1,1,1,1,1,1
"133",1,0,0,0,1,1
"134",1,0,1,1,1,1
"135",1,0,1,1,1,1
"136",0,0,0,1,1,1
"137",0,1,0,0,0,1
"138",1,1,0,0,1,0
"139",1,0,1,0,0,1
"140",1,1,0,1,0,0
"141",1,0,0,1,0,0
"142",0,0,1,0,1,0
"143",0,1,1,1,0,0
"144",1,0,0,0,0,0
"145",1,0,1,1,1,0
"146",1,0,0,1,0,0
"147",1,0,1,0,1,1
"148",0,0,1,1,1,0
"149",1,1,1,1,0,0
"150",1,1,0,0,0,1
"151",1,1,1,0,0,1
"152",1,1,1,1,1,1
"153",1,0,0,1,1,0
"154",0,0,0,0,1,1
"155",0,1,0,1,1,1
"156",0,0,1,0,1,1
"157",0,1,0,1,0,1
"158",1,1,0,1,0,1
"159",0,0,0,1,1,1
"160",1,1,0,1,0,0
"161",0,0,1,0,1,0
"162",0,1,1,0,1,1
"163",1,0,1,1,1,1
"164",0,1,1,1,1,1
"165",1,0,1,0,0,1
"166",0,1,1,1,0,1
"167",1,0,0,0,0,0
"168",0,0,1,0,0,0
"169",0,1,0,1,1,1
"170",1,0,1,0,1,1
"171",0,0,0,1,1,1
"172",1,1,1,0,1,1
"173",0,1,0,0,1,0
"174",1,0,0,0,1,1
"175",1,0,0,0,0,1
"176",0,0,0,0,1,0
"177",0,1,0,1,1,1
"178",1,0,1,0,1,1
"179",0,0,0,1,1,0
"180",0,1,1,1,1,1
"181",1,0,1,1,0,0
"182",1,1,0,0,1,0
"183",0,0,0,1,0,1
"184",1,1,1,1,0,0
"185",0,1,1,0,0,1
"186",0,1,0,1,1,1
"187",0,0,1,0,0,1
"188",1,0,1,0,0,1
"189",0,0,1,1,1,0
"190",1,0,0,1,1,0
"191",0,0,1,0,0,0
"192",0,0,1,0,0,0
"193",0,0,0,1,1,1
"194",0,1,1,1,0,0
"195",0,1,0,0,0,0
"196",0,1,0,1,0,0
"197",0,1,1,1,1,0
"198",1,1,0,0,1,1
"199",0,0,1,0,1,0
"200",1,0,1,1,0,1
