"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1
"2",1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1
"3",0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0
"4",0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1
"5",0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1
"6",0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1
"7",0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
"8",0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0
"9",1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0
"10",0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1
"11",0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0
"12",1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0
"13",0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0
"14",1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0
"15",1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1
"16",0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1
"17",0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1
"18",1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"19",0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
"20",0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1
"21",1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
"22",1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0
"23",1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1
"24",1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0
"25",1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1
"26",1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"27",1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0
"28",1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1
"29",1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0
"30",1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1
"31",0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1
